Winter period;;;;;Summer period;;;
Time from;Time to;Heat Demand;Electricity Price;;Time from;Time to;Heat Demand;Electricity Price
DKK local time;DKK local time;MWh;DKK / Mwh(el);;DKK local time;DKK local time;MWh;DKK / Mwh(el)
08/02/2023 00.00;08/02/2023 01.00;6,62;1190,94;;08/07/2023 00.00;08/07/2023 01.00;1,79;752,03
08/02/2023 01.00;08/02/2023 02.00;6,85;1154,55;;08/07/2023 01.00;08/07/2023 02.00;1,85;691,05
08/02/2023 02.00;08/02/2023 03.00;6,98;1116,22;;08/07/2023 02.00;08/07/2023 03.00;1,76;674,78
08/02/2023 03.00;08/02/2023 04.00;7,04;1101,12;;08/07/2023 03.00;08/07/2023 04.00;1,67;652,95
08/02/2023 04.00;08/02/2023 05.00;7,72;1086,24;;08/07/2023 04.00;08/07/2023 05.00;1,73;666,30
08/02/2023 05.00;08/02/2023 06.00;7,85;1109,53;;08/07/2023 05.00;08/07/2023 06.00;1,79;654,60
08/02/2023 06.00;08/02/2023 07.00;8,15;1307,40;;08/07/2023 06.00;08/07/2023 07.00;1,82;637,05
08/02/2023 07.00;08/02/2023 08.00;7,62;1463,30;;08/07/2023 07.00;08/07/2023 08.00;1,81;639,45
08/02/2023 08.00;08/02/2023 09.00;7,55;1608,78;;08/07/2023 08.00;08/07/2023 09.00;1,84;628,28
08/02/2023 09.00;08/02/2023 10.00;7,60;1309,70;;08/07/2023 09.00;08/07/2023 10.00;1,88;570,30
08/02/2023 10.00;08/02/2023 11.00;7,75;952,51;;08/07/2023 10.00;08/07/2023 11.00;2,00;456,75
08/02/2023 11.00;08/02/2023 12.00;7,06;882,93;;08/07/2023 11.00;08/07/2023 12.00;1,86;347,40
08/02/2023 12.00;08/02/2023 13.00;6,68;860,31;;08/07/2023 12.00;08/07/2023 13.00;1,78;264,15
08/02/2023 13.00;08/02/2023 14.00;6,73;854,88;;08/07/2023 13.00;08/07/2023 14.00;1,60;125,33
08/02/2023 14.00;08/02/2023 15.00;6,84;850,12;;08/07/2023 14.00;08/07/2023 15.00;1,57;125,48
08/02/2023 15.00;08/02/2023 16.00;7,30;933,09;;08/07/2023 15.00;08/07/2023 16.00;1,55;300,00
08/02/2023 16.00;08/02/2023 17.00;7,39;953,26;;08/07/2023 16.00;08/07/2023 17.00;1,57;456,75
08/02/2023 17.00;08/02/2023 18.00;7,68;951,10;;08/07/2023 17.00;08/07/2023 18.00;1,53;625,50
08/02/2023 18.00;08/02/2023 19.00;7,38;765,21;;08/07/2023 18.00;08/07/2023 19.00;1,52;804,75
08/02/2023 19.00;08/02/2023 20.00;7,40;716,47;;08/07/2023 19.00;08/07/2023 20.00;1,50;907,50
08/02/2023 20.00;08/02/2023 21.00;7,56;696,30;;08/07/2023 20.00;08/07/2023 21.00;1,50;965,70
08/02/2023 21.00;08/02/2023 22.00;7,69;665,34;;08/07/2023 21.00;08/07/2023 22.00;1,48;996,45
08/02/2023 22.00;08/02/2023 23.00;7,66;663,56;;08/07/2023 22.00;08/07/2023 23.00;1,51;972,90
08/02/2023 23.00;09/02/2023 00.00;7,54;636,77;;08/07/2023 23.00;09/07/2023 00.00;1,55;869,40
09/02/2023 00.00;09/02/2023 01.00;7,58;615,31;;09/07/2023 00.00;09/07/2023 01.00;1,54;820,80
09/02/2023 01.00;09/02/2023 02.00;7,68;588,89;;09/07/2023 01.00;09/07/2023 02.00;1,47;763,05
09/02/2023 02.00;09/02/2023 03.00;7,71;577,88;;09/07/2023 02.00;09/07/2023 03.00;1,41;763,65
09/02/2023 03.00;09/02/2023 04.00;7,70;577,66;;09/07/2023 03.00;09/07/2023 04.00;1,43;715,80
09/02/2023 04.00;09/02/2023 05.00;8,16;583,16;;09/07/2023 04.00;09/07/2023 05.00;1,43;718,43
09/02/2023 05.00;09/02/2023 06.00;8,45;617,99;;09/07/2023 05.00;09/07/2023 06.00;1,45;726,90
09/02/2023 06.00;09/02/2023 07.00;8,51;629,23;;09/07/2023 06.00;09/07/2023 07.00;1,47;710,10
09/02/2023 07.00;09/02/2023 08.00;7,79;689,06;;09/07/2023 07.00;09/07/2023 08.00;1,50;684,00
09/02/2023 08.00;09/02/2023 09.00;7,64;769,66;;09/07/2023 08.00;09/07/2023 09.00;1,62;646,80
09/02/2023 09.00;09/02/2023 10.00;7,71;802,85;;09/07/2023 09.00;09/07/2023 10.00;1,70;578,33
09/02/2023 10.00;09/02/2023 11.00;7,64;781,42;;09/07/2023 10.00;09/07/2023 11.00;1,74;450,90
09/02/2023 11.00;09/02/2023 12.00;6,99;716,90;;09/07/2023 11.00;09/07/2023 12.00;1,68;375,90
09/02/2023 12.00;09/02/2023 13.00;6,39;692,56;;09/07/2023 12.00;09/07/2023 13.00;1,58;342,68
09/02/2023 13.00;09/02/2023 14.00;6,22;678,35;;09/07/2023 13.00;09/07/2023 14.00;1,45;277,43
09/02/2023 14.00;09/02/2023 15.00;6,28;647,02;;09/07/2023 14.00;09/07/2023 15.00;1,43;336,38
09/02/2023 15.00;09/02/2023 16.00;6,78;645,53;;09/07/2023 15.00;09/07/2023 16.00;1,42;413,63
09/02/2023 16.00;09/02/2023 17.00;7,01;650,07;;09/07/2023 16.00;09/07/2023 17.00;1,47;547,35
09/02/2023 17.00;09/02/2023 18.00;7,18;647,16;;09/07/2023 17.00;09/07/2023 18.00;1,46;618,00
09/02/2023 18.00;09/02/2023 19.00;6,65;649,70;;09/07/2023 18.00;09/07/2023 19.00;1,50;783,08
09/02/2023 19.00;09/02/2023 20.00;6,72;638,53;;09/07/2023 19.00;09/07/2023 20.00;1,50;916,58
09/02/2023 20.00;09/02/2023 21.00;6,86;625,29;;09/07/2023 20.00;09/07/2023 21.00;1,44;990,00
09/02/2023 21.00;09/02/2023 22.00;6,83;621,34;;09/07/2023 21.00;09/07/2023 22.00;1,45;1005,75
09/02/2023 22.00;09/02/2023 23.00;6,86;624,62;;09/07/2023 22.00;09/07/2023 23.00;1,44;990,90
09/02/2023 23.00;10/02/2023 00.00;6,78;620,15;;09/07/2023 23.00;10/07/2023 00.00;1,47;897,00
10/02/2023 00.00;10/02/2023 01.00;6,80;580,99;;10/07/2023 00.00;10/07/2023 01.00;1,40;843,68
10/02/2023 01.00;10/02/2023 02.00;6,80;592,30;;10/07/2023 01.00;10/07/2023 02.00;1,32;765,00
10/02/2023 02.00;10/02/2023 03.00;6,82;622,22;;10/07/2023 02.00;10/07/2023 03.00;1,28;707,25
10/02/2023 03.00;10/02/2023 04.00;6,95;634,79;;10/07/2023 03.00;10/07/2023 04.00;1,33;689,55
10/02/2023 04.00;10/02/2023 05.00;7,73;659,87;;10/07/2023 04.00;10/07/2023 05.00;1,35;699,83
10/02/2023 05.00;10/02/2023 06.00;7,90;706,76;;10/07/2023 05.00;10/07/2023 06.00;1,35;788,55
10/02/2023 06.00;10/02/2023 07.00;8,11;795,76;;10/07/2023 06.00;10/07/2023 07.00;1,42;912,53
10/02/2023 07.00;10/02/2023 08.00;7,62;1235,88;;10/07/2023 07.00;10/07/2023 08.00;1,49;995,85
10/02/2023 08.00;10/02/2023 09.00;7,64;1310,52;;10/07/2023 08.00;10/07/2023 09.00;1,55;1007,03
10/02/2023 09.00;10/02/2023 10.00;7,44;1072,23;;10/07/2023 09.00;10/07/2023 10.00;1,58;884,63
10/02/2023 10.00;10/02/2023 11.00;7,26;847,86;;10/07/2023 10.00;10/07/2023 11.00;1,68;789,60
10/02/2023 11.00;10/02/2023 12.00;7,03;740,32;;10/07/2023 11.00;10/07/2023 12.00;1,73;712,43
10/02/2023 12.00;10/02/2023 13.00;6,77;706,46;;10/07/2023 12.00;10/07/2023 13.00;1,68;669,23
10/02/2023 13.00;10/02/2023 14.00;6,72;671,18;;10/07/2023 13.00;10/07/2023 14.00;1,62;601,20
10/02/2023 14.00;10/02/2023 15.00;6,90;615,67;;10/07/2023 14.00;10/07/2023 15.00;1,51;483,53
10/02/2023 15.00;10/02/2023 16.00;7,34;608,60;;10/07/2023 15.00;10/07/2023 16.00;1,53;463,58
10/02/2023 16.00;10/02/2023 17.00;7,48;597,21;;10/07/2023 16.00;10/07/2023 17.00;1,46;472,05
10/02/2023 17.00;10/02/2023 18.00;7,45;603,39;;10/07/2023 17.00;10/07/2023 18.00;1,51;602,70
10/02/2023 18.00;10/02/2023 19.00;6,92;593,12;;10/07/2023 18.00;10/07/2023 19.00;1,55;914,78
10/02/2023 19.00;10/02/2023 20.00;6,82;578,01;;10/07/2023 19.00;10/07/2023 20.00;1,53;1241,18
10/02/2023 20.00;10/02/2023 21.00;6,78;544,08;;10/07/2023 20.00;10/07/2023 21.00;1,50;1319,18
10/02/2023 21.00;10/02/2023 22.00;6,68;527,93;;10/07/2023 21.00;10/07/2023 22.00;1,49;1350,53
10/02/2023 22.00;10/02/2023 23.00;6,56;499,20;;10/07/2023 22.00;10/07/2023 23.00;1,47;1221,90
10/02/2023 23.00;11/02/2023 00.00;6,46;334,89;;10/07/2023 23.00;11/07/2023 00.00;1,57;1002,75
11/02/2023 00.00;11/02/2023 01.00;6,35;557,82;;11/07/2023 00.00;11/07/2023 01.00;1,53;933,08
11/02/2023 01.00;11/02/2023 02.00;6,31;577,84;;11/07/2023 01.00;11/07/2023 02.00;1,54;868,05
11/02/2023 02.00;11/02/2023 03.00;6,37;576,80;;11/07/2023 02.00;11/07/2023 03.00;1,42;789,68
11/02/2023 03.00;11/02/2023 04.00;6,43;573,45;;11/07/2023 03.00;11/07/2023 04.00;1,46;755,10
11/02/2023 04.00;11/02/2023 05.00;7,04;576,58;;11/07/2023 04.00;11/07/2023 05.00;1,48;747,75
11/02/2023 05.00;11/02/2023 06.00;6,96;566,53;;11/07/2023 05.00;11/07/2023 06.00;1,56;845,55
11/02/2023 06.00;11/02/2023 07.00;6,96;580,97;;11/07/2023 06.00;11/07/2023 07.00;1,60;926,63
11/02/2023 07.00;11/02/2023 08.00;6,61;587,59;;11/07/2023 07.00;11/07/2023 08.00;1,68;940,43
11/02/2023 08.00;11/02/2023 09.00;6,82;595,41;;11/07/2023 08.00;11/07/2023 09.00;1,80;907,13
11/02/2023 09.00;11/02/2023 10.00;6,89;607,17;;11/07/2023 09.00;11/07/2023 10.00;1,78;788,25
11/02/2023 10.00;11/02/2023 11.00;6,69;612,83;;11/07/2023 10.00;11/07/2023 11.00;1,83;686,78
11/02/2023 11.00;11/02/2023 12.00;6,62;607,17;;11/07/2023 11.00;11/07/2023 12.00;1,92;489,38
11/02/2023 12.00;11/02/2023 13.00;6,50;600,03;;11/07/2023 12.00;11/07/2023 13.00;1,93;422,85
11/02/2023 13.00;11/02/2023 14.00;6,40;603,90;;11/07/2023 13.00;11/07/2023 14.00;1,91;347,93
11/02/2023 14.00;11/02/2023 15.00;6,58;609,70;;11/07/2023 14.00;11/07/2023 15.00;1,72;355,43
11/02/2023 15.00;11/02/2023 16.00;6,20;599,21;;11/07/2023 15.00;11/07/2023 16.00;1,64;434,10
11/02/2023 16.00;11/02/2023 17.00;6,29;660,25;;11/07/2023 16.00;11/07/2023 17.00;1,59;510,00
11/02/2023 17.00;11/02/2023 18.00;6,07;744,23;;11/07/2023 17.00;11/07/2023 18.00;1,53;698,40
11/02/2023 18.00;11/02/2023 19.00;6,27;832,82;;11/07/2023 18.00;11/07/2023 19.00;1,61;855,00
11/02/2023 19.00;11/02/2023 20.00;6,30;809,51;;11/07/2023 19.00;11/07/2023 20.00;1,69;1061,63
11/02/2023 20.00;11/02/2023 21.00;6,25;743,26;;11/07/2023 20.00;11/07/2023 21.00;1,65;1200,15
11/02/2023 21.00;11/02/2023 22.00;6,16;731,05;;11/07/2023 21.00;11/07/2023 22.00;1,62;1005,68
11/02/2023 22.00;11/02/2023 23.00;6,23;703,51;;11/07/2023 22.00;11/07/2023 23.00;1,56;892,50
11/02/2023 23.00;12/02/2023 00.00;6,09;706,04;;11/07/2023 23.00;12/07/2023 00.00;1,62;772,73
12/02/2023 00.00;12/02/2023 01.00;6,05;965,70;;12/07/2023 00.00;12/07/2023 01.00;1,70;738,53
12/02/2023 01.00;12/02/2023 02.00;6,05;934,21;;12/07/2023 01.00;12/07/2023 02.00;1,66;682,50
12/02/2023 02.00;12/02/2023 03.00;6,06;981,11;;12/07/2023 02.00;12/07/2023 03.00;1,62;675,00
12/02/2023 03.00;12/02/2023 04.00;6,24;949,69;;12/07/2023 03.00;12/07/2023 04.00;1,55;615,68
12/02/2023 04.00;12/02/2023 05.00;6,75;881,88;;12/07/2023 04.00;12/07/2023 05.00;1,58;580,50
12/02/2023 05.00;12/02/2023 06.00;6,74;885,08;;12/07/2023 05.00;12/07/2023 06.00;1,61;570,00
12/02/2023 06.00;12/02/2023 07.00;6,72;804,15;;12/07/2023 06.00;12/07/2023 07.00;1,66;661,65
12/02/2023 07.00;12/02/2023 08.00;6,27;864,83;;12/07/2023 07.00;12/07/2023 08.00;1,75;865,50
12/02/2023 08.00;12/02/2023 09.00;6,51;1056,90;;12/07/2023 08.00;12/07/2023 09.00;1,78;900,00
12/02/2023 09.00;12/02/2023 10.00;6,71;1004,78;;12/07/2023 09.00;12/07/2023 10.00;1,76;767,48
12/02/2023 10.00;12/02/2023 11.00;6,59;1002,18;;12/07/2023 10.00;12/07/2023 11.00;1,76;622,50
12/02/2023 11.00;12/02/2023 12.00;6,41;900,34;;12/07/2023 11.00;12/07/2023 12.00;1,94;380,78
12/02/2023 12.00;12/02/2023 13.00;6,28;790,61;;12/07/2023 12.00;12/07/2023 13.00;1,86;119,03
12/02/2023 13.00;12/02/2023 14.00;6,26;756,88;;12/07/2023 13.00;12/07/2023 14.00;1,79;96,90
12/02/2023 14.00;12/02/2023 15.00;6,53;740,73;;12/07/2023 14.00;12/07/2023 15.00;1,62;144,98
12/02/2023 15.00;12/02/2023 16.00;6,48;733,80;;12/07/2023 15.00;12/07/2023 16.00;1,55;202,73
12/02/2023 16.00;12/02/2023 17.00;6,45;877,86;;12/07/2023 16.00;12/07/2023 17.00;1,55;221,18
12/02/2023 17.00;12/02/2023 18.00;6,14;1123,45;;12/07/2023 17.00;12/07/2023 18.00;1,53;328,65
12/02/2023 18.00;12/02/2023 19.00;6,30;1247,03;;12/07/2023 18.00;12/07/2023 19.00;1,56;375,45
12/02/2023 19.00;12/02/2023 20.00;6,17;1002,63;;12/07/2023 19.00;12/07/2023 20.00;1,59;601,95
12/02/2023 20.00;12/02/2023 21.00;6,10;1002,33;;12/07/2023 20.00;12/07/2023 21.00;1,61;1043,25
12/02/2023 21.00;12/02/2023 22.00;6,09;797,16;;12/07/2023 21.00;12/07/2023 22.00;1,61;939,00
12/02/2023 22.00;12/02/2023 23.00;6,09;767,38;;12/07/2023 22.00;12/07/2023 23.00;1,67;945,08
12/02/2023 23.00;13/02/2023 00.00;6,03;734,85;;12/07/2023 23.00;13/07/2023 00.00;1,66;854,33
13/02/2023 00.00;13/02/2023 01.00;6,08;773,11;;13/07/2023 00.00;13/07/2023 01.00;1,67;786,90
13/02/2023 01.00;13/02/2023 02.00;6,18;753,01;;13/07/2023 01.00;13/07/2023 02.00;1,65;642,45
13/02/2023 02.00;13/02/2023 03.00;6,26;751,67;;13/07/2023 02.00;13/07/2023 03.00;1,60;592,50
13/02/2023 03.00;13/02/2023 04.00;6,39;766,93;;13/07/2023 03.00;13/07/2023 04.00;1,55;563,18
13/02/2023 04.00;13/02/2023 05.00;6,96;773,33;;13/07/2023 04.00;13/07/2023 05.00;1,60;570,00
13/02/2023 05.00;13/02/2023 06.00;7,09;818,15;;13/07/2023 05.00;13/07/2023 06.00;1,68;663,83
13/02/2023 06.00;13/02/2023 07.00;7,34;1170,72;;13/07/2023 06.00;13/07/2023 07.00;1,71;766,73
13/02/2023 07.00;13/02/2023 08.00;6,84;1459,72;;13/07/2023 07.00;13/07/2023 08.00;1,78;828,53
13/02/2023 08.00;13/02/2023 09.00;6,94;1505,28;;13/07/2023 08.00;13/07/2023 09.00;2,04;893,25
13/02/2023 09.00;13/02/2023 10.00;6,86;1460,61;;13/07/2023 09.00;13/07/2023 10.00;2,02;652,20
13/02/2023 10.00;13/02/2023 11.00;6,73;1290,50;;13/07/2023 10.00;13/07/2023 11.00;1,80;365,78
13/02/2023 11.00;13/02/2023 12.00;6,46;1049,67;;13/07/2023 11.00;13/07/2023 12.00;1,73;356,93
13/02/2023 12.00;13/02/2023 13.00;6,21;916,42;;13/07/2023 12.00;13/07/2023 13.00;1,72;370,43
13/02/2023 13.00;13/02/2023 14.00;6,26;893,34;;13/07/2023 13.00;13/07/2023 14.00;1,62;348,75
13/02/2023 14.00;13/02/2023 15.00;6,34;893,34;;13/07/2023 14.00;13/07/2023 15.00;1,62;348,75
13/02/2023 15.00;13/02/2023 16.00;6,66;900,78;;13/07/2023 15.00;13/07/2023 16.00;1,67;350,63
13/02/2023 16.00;13/02/2023 17.00;6,71;1118,39;;13/07/2023 16.00;13/07/2023 17.00;1,61;338,03
13/02/2023 17.00;13/02/2023 18.00;6,81;1400,01;;13/07/2023 17.00;13/07/2023 18.00;1,65;351,98
13/02/2023 18.00;13/02/2023 19.00;6,47;1651,19;;13/07/2023 18.00;13/07/2023 19.00;1,65;417,68
13/02/2023 19.00;13/02/2023 20.00;6,26;1538,03;;13/07/2023 19.00;13/07/2023 20.00;1,67;867,23
13/02/2023 20.00;13/02/2023 21.00;6,20;1398,52;;13/07/2023 20.00;13/07/2023 21.00;1,68;981,45
13/02/2023 21.00;13/02/2023 22.00;6,22;1257,52;;13/07/2023 21.00;13/07/2023 22.00;1,62;1034,18
13/02/2023 22.00;13/02/2023 23.00;6,15;1198,34;;13/07/2023 22.00;13/07/2023 23.00;1,61;972,53
13/02/2023 23.00;14/02/2023 00.00;6,19;1117,57;;13/07/2023 23.00;14/07/2023 00.00;1,70;882,90
14/02/2023 00.00;14/02/2023 01.00;6,15;1010,17;;14/07/2023 00.00;14/07/2023 01.00;1,71;757,50
14/02/2023 01.00;14/02/2023 02.00;6,33;985,59;;14/07/2023 01.00;14/07/2023 02.00;1,75;722,70
14/02/2023 02.00;14/02/2023 03.00;6,32;984,39;;14/07/2023 02.00;14/07/2023 03.00;1,66;634,13
14/02/2023 03.00;14/02/2023 04.00;6,38;984,10;;14/07/2023 03.00;14/07/2023 04.00;1,64;626,85
14/02/2023 04.00;14/02/2023 05.00;7,02;985,59;;14/07/2023 04.00;14/07/2023 05.00;1,70;700,13
14/02/2023 05.00;14/02/2023 06.00;7,21;1057,17;;14/07/2023 05.00;14/07/2023 06.00;1,78;745,13
14/02/2023 06.00;14/02/2023 07.00;7,40;1238,09;;14/07/2023 06.00;14/07/2023 07.00;1,80;855,00
14/02/2023 07.00;14/02/2023 08.00;6,92;1489,63;;14/07/2023 07.00;14/07/2023 08.00;1,78;855,00
14/02/2023 08.00;14/02/2023 09.00;7,06;1541,69;;14/07/2023 08.00;14/07/2023 09.00;1,82;778,20
14/02/2023 09.00;14/02/2023 10.00;7,02;1345,20;;14/07/2023 09.00;14/07/2023 10.00;1,90;638,03
14/02/2023 10.00;14/02/2023 11.00;7,12;1029,83;;14/07/2023 10.00;14/07/2023 11.00;1,86;597,83
14/02/2023 11.00;14/02/2023 12.00;7,08;1036,53;;14/07/2023 11.00;14/07/2023 12.00;1,88;572,93
14/02/2023 12.00;14/02/2023 13.00;7,08;970,99;;14/07/2023 12.00;14/07/2023 13.00;1,83;553,50
14/02/2023 13.00;14/02/2023 14.00;7,00;934,12;;14/07/2023 13.00;14/07/2023 14.00;1,76;523,88
14/02/2023 14.00;14/02/2023 15.00;6,64;945,44;;14/07/2023 14.00;14/07/2023 15.00;1,63;563,48
14/02/2023 15.00;14/02/2023 16.00;7,09;985,59;;14/07/2023 15.00;14/07/2023 16.00;1,57;582,75
14/02/2023 16.00;14/02/2023 17.00;7,07;1137,39;;14/07/2023 16.00;14/07/2023 17.00;1,55;581,63
14/02/2023 17.00;14/02/2023 18.00;7,03;1346,76;;14/07/2023 17.00;14/07/2023 18.00;1,54;730,95
14/02/2023 18.00;14/02/2023 19.00;6,53;1489,63;;14/07/2023 18.00;14/07/2023 19.00;1,56;864,38
14/02/2023 19.00;14/02/2023 20.00;6,38;1437,34;;14/07/2023 19.00;14/07/2023 20.00;1,56;1051,43
14/02/2023 20.00;14/02/2023 21.00;6,51;1309,52;;14/07/2023 20.00;14/07/2023 21.00;1,59;1049,40
14/02/2023 21.00;14/02/2023 22.00;6,34;1192,43;;14/07/2023 21.00;14/07/2023 22.00;1,57;929,40
14/02/2023 22.00;14/02/2023 23.00;6,41;1124,95;;14/07/2023 22.00;14/07/2023 23.00;1,55;714,38
14/02/2023 23.00;15/02/2023 00.00;6,35;1055,68;;14/07/2023 23.00;15/07/2023 00.00;1,62;607,05
